133,Celular Nokia 105 Dual Chip + Rádio Fm + Lanterna - Nk093,149.0,"",null,4,"37,25",sem juros,Celular Nokia 105,"","","",""
134,Smartphone Galaxy A13 6.6'' 128gb 4gb Ram Branco Samsung,1.099,1.599,null,10,"109,90",sem juros,"","","","",""
135,Smartphone Samsung Galaxy A03s Dual 6.5 64gb 4gb Ram Preto,899.0,1.427,null,10,"89,90",sem juros,Smartphone Samsung Galaxy A03s,"","","",""
136,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Preto",1.039,1.301,null,"","","","","","","",""
137,Moto G22 Dual SIM 128 GB cosmic black 4 GB RAM,1.02,"",2876,"","","",Moto G22,Moto G22 Dual SIM 128 GB cosmic black,128,cosmic black,4 GB RAM
138,Philco Hit PCS01 Dual SIM 64 GB preto 4 GB RAM,1.1,"",118,10,"",sem juros,Philco Hit PCS01,Philco Hit PCS01 Dual SIM 64 GB preto,64,preto,4 GB RAM
139,Xiaomi Mi 9T Dual SIM 64 GB preto-carvão 6 GB RAM,2.929,"",2987,10,"292,90",sem juros,Xiaomi Mi 9T,Xiaomi Mi 9T Dual SIM 64 GB preto-carvão,64,preto-carvão,6 GB RAM
140,Celular Smartphone Philco Hit P8 32gb 3gb Ram Dark Blue 6'',559.0,"",null,"","","","","","","",""
141,Samsung Galaxy S22+ (Snapdragon) Dual SIM 128 GB white 8 GB RAM,4.699,"",124,10,"",sem juros,Samsung Galaxy S22+ (Snapdragon),Samsung Galaxy S22+ (Snapdragon) Dual SIM 128 GB white,128,white,8 GB RAM
142,Samsung Galaxy A04e Dual SIM 64 GB black 3 GB RAM,790.0,1.550,6,"","","",Samsung Galaxy A04e,Samsung Galaxy A04e Dual SIM 64 GB black,64,black,3 GB RAM
143,Motorola Edge 20 Lite Dual SIM 128 GB grafite 6 GB RAM,2.624,"",198,"","","",Motorola Edge 20 Lite,Motorola Edge 20 Lite Dual SIM 128 GB grafite,128,grafite,6 GB RAM
144,CAT S52 Dual SIM 64 GB preto 4 GB RAM,2.985,"",36,"","","",CAT S52,CAT S52 Dual SIM 64 GB preto,64,preto,4 GB RAM
